['detach', 'overhall', 'replace']
gpu 인식 성공
Epoch [0], train_loss: 1.0811, val_loss: 1.0015, val_acc: 0.4901
Epoch [1], train_loss: 1.0047, val_loss: 0.9840, val_acc: 0.4877
Epoch [2], train_loss: 0.9808, val_loss: 1.0041, val_acc: 0.4720
Epoch [3], train_loss: 0.9627, val_loss: 0.9650, val_acc: 0.5049
Epoch [4], train_loss: 0.9524, val_loss: 0.9407, val_acc: 0.5485
Epoch [5], train_loss: 0.9324, val_loss: 0.9107, val_acc: 0.5526
Epoch [6], train_loss: 0.9209, val_loss: 0.9275, val_acc: 0.5543
Epoch [7], train_loss: 0.9087, val_loss: 0.9203, val_acc: 0.5691
Epoch [8], train_loss: 0.8979, val_loss: 0.9142, val_acc: 0.5674
Epoch [9], train_loss: 0.8813, val_loss: 0.9254, val_acc: 0.5641
Epoch [10], train_loss: 0.8669, val_loss: 0.9380, val_acc: 0.5584
Epoch [11], train_loss: 0.8642, val_loss: 0.9355, val_acc: 0.5452
Epoch [12], train_loss: 0.8508, val_loss: 0.9144, val_acc: 0.5567
Epoch [13], train_loss: 0.8460, val_loss: 0.9518, val_acc: 0.5625
Epoch [14], train_loss: 0.8260, val_loss: 0.9216, val_acc: 0.5600
Epoch [15], train_loss: 0.8248, val_loss: 0.9097, val_acc: 0.5724
Epoch [16], train_loss: 0.8053, val_loss: 0.9504, val_acc: 0.5584
Epoch [17], train_loss: 0.7979, val_loss: 0.9743, val_acc: 0.5707
Epoch [18], train_loss: 0.7803, val_loss: 0.9222, val_acc: 0.5650
Epoch [19], train_loss: 0.7673, val_loss: 0.9304, val_acc: 0.5715
Epoch [20], train_loss: 0.7590, val_loss: 0.9291, val_acc: 0.5822
Epoch [21], train_loss: 0.7440, val_loss: 1.0024, val_acc: 0.5650
Epoch [22], train_loss: 0.7500, val_loss: 0.9450, val_acc: 0.5765
Epoch [23], train_loss: 0.7238, val_loss: 0.9671, val_acc: 0.5543
Epoch [24], train_loss: 0.7103, val_loss: 0.9396, val_acc: 0.5757
Epoch [25], train_loss: 0.7098, val_loss: 0.9567, val_acc: 0.5814
Epoch [26], train_loss: 0.6897, val_loss: 0.9653, val_acc: 0.5839
Epoch [27], train_loss: 0.6812, val_loss: 0.9463, val_acc: 0.5641
Epoch [28], train_loss: 0.6654, val_loss: 0.9708, val_acc: 0.5740
Epoch [29], train_loss: 0.6553, val_loss: 0.9191, val_acc: 0.5732
Epoch [30], train_loss: 0.6480, val_loss: 0.9763, val_acc: 0.5600
Epoch [31], train_loss: 0.6425, val_loss: 0.9301, val_acc: 0.5765
Epoch [32], train_loss: 0.6228, val_loss: 1.0239, val_acc: 0.5674
Epoch [33], train_loss: 0.6186, val_loss: 0.9643, val_acc: 0.5748
Epoch [34], train_loss: 0.6110, val_loss: 0.9757, val_acc: 0.5715
Epoch [35], train_loss: 0.5943, val_loss: 0.9911, val_acc: 0.5699
Epoch [36], train_loss: 0.5959, val_loss: 0.9810, val_acc: 0.5814
Epoch [37], train_loss: 0.5648, val_loss: 1.0720, val_acc: 0.5872
Epoch [38], train_loss: 0.5757, val_loss: 1.0168, val_acc: 0.5674
Epoch [39], train_loss: 0.5597, val_loss: 1.0879, val_acc: 0.5831
Epoch [40], train_loss: 0.5700, val_loss: 1.0160, val_acc: 0.5740
Epoch [41], train_loss: 0.5476, val_loss: 1.0696, val_acc: 0.5847
Epoch [42], train_loss: 0.5335, val_loss: 1.0371, val_acc: 0.5806
Epoch [43], train_loss: 0.5240, val_loss: 1.0820, val_acc: 0.5921
Epoch [44], train_loss: 0.5326, val_loss: 1.0610, val_acc: 0.5839
Epoch [45], train_loss: 0.5245, val_loss: 1.0880, val_acc: 0.5814
Epoch [46], train_loss: 0.5156, val_loss: 1.1350, val_acc: 0.5724
Epoch [47], train_loss: 0.5088, val_loss: 1.0927, val_acc: 0.5748
Epoch [48], train_loss: 0.4972, val_loss: 1.1120, val_acc: 0.5617
Epoch [49], train_loss: 0.5004, val_loss: 1.2013, val_acc: 0.5740
